Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,13998,Ohio Edison Co,OH,PJM,"3,353","3,633","14,229",0.6,0.5,2.2,"33,224","36,223","139,856",0.6,0.5,2.2,150,168,"2,927",182,184,"2,553",150,168,"2,927",182,184,"2,553",9.909,9.969
2023,14063,Oklahoma Gas & Electric Co,AR,SWPP,"19,951",0,"30,701",3.5,0.0,6.1,"215,198",0,"376,615",2.5,0.0,4.4,"2,029",0,"4,263","2,492",0,"4,407","2,029",0,"4,263","2,492",0,"4,407",12.000,0.000
2023,14063,Oklahoma Gas & Electric Co,OK,SWPP,"85,086","85,086","228,515",13.1,13.1,37.5,"912,003","912,003","2,626,251",10.5,10.5,30.0,"4,911","4,911","21,912","4,193","4,193","14,074","4,911","4,911","21,912","4,193","4,193","14,074",11.000,11.000
2023,14109,"Oregon Trail El Cons Coop, Inc",OR,BPAT,"1,690",931,"3,857",0.1,0.1,0.4,"16,760","29,990","67,248",0.1,0.1,0.4,228,307,950,24,13,54,228,307,950,24,13,54,14.158,30.000
2023,14127,Omaha Public Power District,NE,SWPP,"8,776",.,"12,608",2.4,.,4.3,"115,847",.,"159,107",2.4,.,4.2,687,.,"2,014",144,.,189,687,.,"2,014",144,.,189,13.200,.
2023,14154,Orange & Rockland Utils Inc,NY,NYIS,"29,457","11,373","79,155",7.3,1.8,13.0,"415,054","138,408","1,025,243",7.3,1.8,13.0,"4,383","1,758","8,539","1,069",413,"2,836","4,383","1,758","8,539","1,069",413,"2,836",14.100,12.200
2023,14232,Otter Tail Power Co,MN,MISO,"34,292",0,"51,684",6.5,0.0,19.6,"505,972",0,"701,322",6.5,0.0,19.6,"3,572",0,"4,954","1,300",0,"2,769","3,572",0,"4,954","1,300",0,"2,769",14.755,0.000
2023,14232,Otter Tail Power Co,SD,MISO,"5,508",0,"6,647",0.7,0.0,1.0,"83,969",0,"104,045",0.7,0.0,1.0,318,0,431,91,0,117,318,0,431,91,0,117,15.245,0.000
2023,14246,City of Owatonna - (MN),MN,MISO,740,"2,853","3,907",0.1,0.4,0.6,"7,404","28,532","39,068",0.1,0.4,0.6,93,129,304,26,64,178,93,129,304,26,64,178,10.000,10.000
2023,14328,Pacific Gas & Electric Co.,CA,CISO,"721,474","53,487","1,718,664",138.0,8.0,331.0,"9,236,358","280,568","18,751,269",148.0,8.0,352.0,"9,795","25,421","41,258","86,414","19,249","247,704","9,795","25,421","41,258","86,414","19,249","247,704",12.800,5.200
2023,14354,PacifiCorp,CA,PACW,114,878,"1,210",0.0,0.2,0.2,656,"3,461","6,759",0.0,0.2,0.2,9,46,477,68,376,664,9,46,477,68,376,664,5.770,3.943
2023,14354,PacifiCorp,ID,PACE,"6,197","2,714","16,858",1.3,0.5,3.4,"88,615","38,351","161,087",1.3,0.5,3.4,732,464,"1,845","1,299",695,"2,834",732,464,"1,845","1,299",695,"2,834",14.300,14.129
2023,14354,PacifiCorp,UT,PACE,"137,747","33,024","326,446",19.9,4.8,47.1,"1,804,485","431,500","3,342,306",19.9,4.8,47.1,"19,074","3,089","39,429","13,554","4,429","26,737","19,074","3,089","39,429","13,554","4,429","26,737",13.100,13.066
2023,14354,PacifiCorp,WA,PACW,"32,049","4,587","48,410",4.4,0.6,6.7,"349,914","54,886","520,117",4.4,0.6,6.7,"5,802","1,049","11,011","3,832",744,"9,301","5,802","1,049","11,011","3,832",744,"9,301",10.918,11.966
2023,14354,PacifiCorp,WY,PACE,"12,871","19,621","43,693",1.7,2.5,5.6,"160,627","188,619","380,803",1.7,2.5,5.6,"1,636","1,349","3,336","2,930","1,049","5,291","1,636","1,349","3,336","2,930","1,049","5,291",12.480,9.613
2023,14401,City of Palo Alto - (CA),CA,CISO,265,185,627,0.0,0.0,0.1,"3,373","3,701","9,201",0.0,0.0,0.1,116,15,368,259,112,872,116,15,368,259,112,872,12.700,20.000
2023,14468,People's Cooperative Services,MN,MISO,"2,366","1,219","4,757",0.1,0.0,0.2,"28,226","12,237","58,846",0.1,0.0,0.2,32,6,194,17,2,237,32,6,194,17,2,237,11.930,10.039
2023,14534,City of Pasadena - (CA),CA,CISO,"4,753",.,"11,026",0.9,.,1.0,"32,899",.,"43,070",0.9,.,1.0,"1,372",.,"2,582",379,.,"1,262","1,372",.,"2,582",379,.,"1,262",9.930,.
2023,14537,Pascoag Utility District,RI,ISNE,1,0,51,0.0,0.0,0.0,11,0,641,0.0,0.0,0.0,11,0,102,5,0,47,11,0,102,5,0,47,18.000,.
2023,14563,Pearl River Valley El Pwr Assn,MS,MISO,.,.,446,.,.,0.2,.,.,"7,868",.,.,0.2,.,.,82,.,.,92,.,.,82,.,.,92,.,.
2023,14606,"Peace River Electric Coop, Inc",FL,SEC,143,.,328,0.0,.,0.0,"1,425",.,"4,112",0.0,.,0.0,.,.,.,175,.,328,.,.,.,175,.,328,12.370,.
