"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"1/28/2024, Eastern Time",602843,513786,745383,572212,2117525,1850004,326419,943148,404502,578435,248102,456820,1107714
US48,"1/29/2024, Eastern Time",649020,609072,752410,572247,2354333,1981214,353796,971858,438516,661037,254881,506871,1099826
US48,"1/30/2024, Eastern Time",656866,661711,727920,603721,2418209,1961367,363513,974813,442912,694406,253429,509888,1056699
US48,"1/31/2024, Eastern Time",679040,646970,678299,603730,2380415,1902780,360755,981472,435711,644991,252230,477740,1041205
US48,"2/1/2024, Eastern Time",703299,665949,677954,589992,2310507,1880387,347156,975996,427766,685516,257025,495018,1023657
US48,"2/2/2024, Eastern Time",687059,601073,703866,568403,2243631,1840357,337074,988577,422726,614014,263160,435180,1016626
US48,"2/3/2024, Eastern Time",656762,593411,689953,557515,2160805,1760248,309890,992353,394338,573150,263266,402679,981453
US48,"2/4/2024, Eastern Time",655887,642590,702385,538022,2153157,1730542,306793,1008412,388873,616857,259633,415579,1001187
US48,"2/5/2024, Eastern Time",697783,638946,733828,566430,2318236,1873750,327472,1042004,418621,662620,264911,428758,1050903
US48,"2/6/2024, Eastern Time",715149,661485,747187,576296,2343831,1897718,332347,1022805,423078,658498,271638,444425,1061124
US48,"2/7/2024, Eastern Time",735553,686577,733531,596743,2339086,1873171,324885,1037009,419883,665045,278931,450696,1049133
US48,"2/8/2024, Eastern Time",726158,683716,710705,581998,2258945,1790119,316789,1048359,403921,663080,291647,428402,1028082
US48,"2/9/2024, Eastern Time",708341,607281,709452,558592,2093956,1739787,320966,1043004,390065,590773,288654,405003,1039504
US48,"2/10/2024, Eastern Time",639308,516017,709168,548813,1951169,1695703,283797,1013402,366403,519051,281350,374082,1006648
US48,"2/11/2024, Eastern Time",632218,495202,738851,586496,1974077,1718653,286643,995937,375216,508354,274138,382017,1045320
US48,"2/12/2024, Eastern Time",675181,539528,782231,621932,2184732,1870194,309707,1024613,408515,562917,279543,422546,1126141
US48,"2/13/2024, Eastern Time",679734,562278,794055,572839,2289560,1913609,343766,1028425,427326,627431,270005,462232,1118686
US48,"2/14/2024, Eastern Time",690475,621267,794115,575459,2310309,1862430,342709,1064048,436800,652691,264025,455408,1073933
US48,"2/15/2024, Eastern Time",680429,597255,736766,575747,2351970,1854721,341104,1080581,441473,617189,257637,427232,1020698
US48,"2/16/2024, Eastern Time",672735,560388,782660,574059,2300263,1940228,333858,1080470,426724,575227,256758,418014,1021511
US48,"2/17/2024, Eastern Time",653747,564279,819011,572552,2357694,1986880,331559,1043890,421321,596307,247257,497532,1164817
US48,"2/18/2024, Eastern Time",611960,654172,764243,593290,2338949,1918466,323096,1008522,418952,664656,244590,503129,1171486
US48,"2/19/2024, Eastern Time",654915,668319,759059,594267,2328975,1954267,321831,1026847,415805,684445,252804,496750,1139677
US48,"2/20/2024, Eastern Time",701203,663385,730747,616465,2336566,1853355,335827,1015814,428184,676558,250019,455433,1067715
US48,"2/21/2024, Eastern Time",676583,650760,694564,604829,2288490,1774356,333652,995961,418196,643356,247852,433059,1037555
US48,"2/22/2024, Eastern Time",660924,615645,686983,596936,2233705,1724008,328392,991487,416491,596401,246729,400801,1051823
US48,"2/23/2024, Eastern Time",661787,548592,692292,569979,2148492,1751422,327359,999304,401186,538615,249683,386977,1009791
US48,"2/24/2024, Eastern Time",605745,566219,671004,527505,2140252,1718644,301844,951346,388729,544108,243059,410553,994324
US48,"2/25/2024, Eastern Time",581302,602106,649776,537537,2173285,1662268,303427,945230,393214,576054,243165,429929,1005747
US48,"2/26/2024, Eastern Time",665934,580330,689667,567884,2134656,1728689,307608,1019747,395371,585718,256169,391175,1099270
US48,"2/27/2024, Eastern Time",652679,555101,711651,563940,2054864,1741613,296376,1085678,385408,554025,249500,383435,1123390
US48,"2/28/2024, Eastern Time",646680,526019,778922,590778,2096060,1866959,313042,1052629,396623,553556,248517,397390,1082863
US48,"2/29/2024, Eastern Time",675232,599746,784082,591133,2294174,1931503,321385,1037609,421602,625121,246981,479828,1142594
US48,"3/1/2024, Eastern Time",674731,628189,709846,603703,2253797,1847894,313242,1041837,402317,645539,248959,458503,1082754
US48,"3/2/2024, Eastern Time",643962,516076,711666,587917,2018926,1655210,305172,1019222,386945,561863,240679,387877,1019242
US48,"3/3/2024, Eastern Time",625288,487498,717911,591384,1858993,1589466,269097,1036538,351663,517939,240108,376435,1029608
US48,"3/4/2024, Eastern Time",663961,522691,709263,610083,1975749,1718730,288416,1080057,367679,540721,248998,385120,1109898
US48,"3/5/2024, Eastern Time",673426,519561,708978,628944,2022838,1723862,312774,1066595,384689,552362,250103,380128,1115646
US48,"3/6/2024, Eastern Time",680125,527926,732528,614657,2055099,1737051,301337,1060237,389117,552011,255146,384528,1079343
US48,"3/7/2024, Eastern Time",671122,517586,705475,618746,2037707,1758497,316988,1050195,381120,553441,271127,386109,1070684
US48,"3/8/2024, Eastern Time",639026,510108,727923,667329,2019037,1751894,284165,1031157,367479,525954,256119,376657,1090875
US48,"3/9/2024, Eastern Time",600571,509089,700762,674342,2008463,1659534,303874,973896,379781,509142,245262,374639,1006606
US48,"3/10/2024, Eastern Time",552114,483288,650648,597016,1931341,1600201,269192,922447,359499,506013,230204,389386,942285
US48,"3/11/2024, Eastern Time",635631,585981,696059,568945,2183842,1750144,309270,994718,396162,597667,252943,439410,1012464
US48,"3/12/2024, Eastern Time",664297,566598,694696,588938,2048931,1703861,283686,988772,368076,593165,251280,418129,1035149
US48,"3/13/2024, Eastern Time",646224,535552,705598,607430,1961327,1677419,275154,1005506,359800,562100,248364,390201,1098736
US48,"3/14/2024, Eastern Time",633793,527329,703769,642463,1955439,1718668,268387,1016289,357131,559842,252712,387443,1132456
US48,"3/15/2024, Eastern Time",632481,502207,631868,663738,1918322,1683693,292617,966479,366545,538967,260792,367568,1095416
US48,"3/16/2024, Eastern Time",582788,482583,630808,653532,1812511,1597315,253330,902143,335411,506231,251936,351733,1011611
US48,"3/17/2024, Eastern Time",563306,472240,630924,666974,1817796,1624794,259752,869608,336793,492409,246453,349659,1003803
US48,"3/18/2024, Eastern Time",630640,518406,631403,683996,2133126,1864104,278573,895664,382298,557199,257101,427825,1027974
US48,"3/19/2024, Eastern Time",629113,592251,631452,573997,2208841,1856065,288057,898567,393405,633400,252567,464102,1041445
US48,"3/20/2024, Eastern Time",628127,555155,631317,567156,2119648,1791379,300906,913414,397710,597504,249841,405742,1022775
US48,"3/21/2024, Eastern Time",628578,522572,631339,585426,2193531,1825941,309891,922295,410406,556935,251106,385887,1030889
US48,"3/22/2024, Eastern Time",639420,524960,701956,562512,2190532,1804095,306601,927464,415370,531542,254415,374361,1052076
US48,"3/23/2024, Eastern Time",606735,487055,701435,562717,2057103,1696000,323421,903565,401240,504832,250222,366383,996955
US48,"3/24/2024, Eastern Time",578592,535561,693783,551231,2044936,1681601,283583,915688,374124,521154,251641,385837,995222
US48,"3/25/2024, Eastern Time",626891,579835,724980,593612,2089339,1758433,301219,988767,383981,550892,259408,383612,1057321
US48,"3/26/2024, Eastern Time",630188,556871,774368,643006,2068246,1797614,317268,964915,385561,541303,260316,379963,1032734
US48,"3/27/2024, Eastern Time",654367,542146,801871,655133,2083952,1810938,300117,967784,383448,540759,253978,391369,1038430
US48,"3/28/2024, Eastern Time",643909,531467,730808,637213,2091739,1785223,310109,970148,385640,535897,255179,396540,1043003
US48,"3/29/2024, Eastern Time",649478,525780,685215,572095,1952984,1657894,291724,942261,368971,531763,250850,381103,1034759
US48,"3/30/2024, Eastern Time",621142,487556,655366,568041,1846469,1562717,252077,905980,344454,507075,246257,351682,1028640
US48,"3/31/2024, Eastern Time",586991,482374,658120,580621,1742050,1546221,243476,886899,324834,499565,246734,345876,1046571
US48,"4/1/2024, Eastern Time",609232,529172,708165,633965,1965374,1736567,284983,924410,367507,550582,257465,385211,1151774
US48,"4/2/2024, Eastern Time",627879,568089,709498,680454,2037105,1774522,290040,912234,387097,585208,249188,397901,1080202
US48,"4/3/2024, Eastern Time",641046,537385,717336,687186,2103969,1766558,320898,915844,407045,547059,244977,380093,1027090
US48,"4/4/2024, Eastern Time",677132,523715,678113,591278,2130339,1791619,318525,954979,397689,550771,249276,413711,1063350
US48,"4/5/2024, Eastern Time",673925,533734,701677,570147,2112252,1750579,300191,961264,388378,551835,249086,420153,1099083
US48,"4/6/2024, Eastern Time",606271,511551,662612,554884,1956240,1601744,280123,932698,356074,523581,237032,387956,1060228
US48,"4/7/2024, Eastern Time",573753,505029,652378,562832,1858428,1606280,270444,902833,331645,521597,238998,373086,1078499
US48,"4/8/2024, Eastern Time",621421,519997,684953,588497,1928754,1701611,267251,945357,359559,547472,247282,376329,1127075
US48,"4/9/2024, Eastern Time",632390,510925,681902,622386,1915523,1697473,251939,920609,346768,548990,249275,373727,1142236
US48,"4/10/2024, Eastern Time",638131,525184,680085,674576,1918428,1683745,270598,918304,355212,554340,252109,374815,1056946
US48,"4/11/2024, Eastern Time",616216,527843,682997,699558,1952857,1680588,291789,911028,365841,547862,259250,368968,1041845
US48,"4/12/2024, Eastern Time",597427,494601,683507,618219,1924523,1666300,291289,898968,362000,505236,264245,373572,1054903
US48,"4/13/2024, Eastern Time",574901,475681,669333,568687,1786881,1575846,250744,860974,348744,490857,254665,366843,1053251
US48,"4/14/2024, Eastern Time",593372,492296,692195,584456,1774688,1582129,245976,840587,335281,500106,244365,361980,1098735
US48,"4/15/2024, Eastern Time",623641,559405,734904,636917,1955719,1757277,252248,904482,350306,587128,244822,409574,1168580
US48,"4/16/2024, Eastern Time",633392,573387,724232,657196,1939573,1798308,245044,931578,339492,597589,254793,415453,1185648
US48,"4/17/2024, Eastern Time",640482,552659,736596,684650,1949919,1783290,251271,942955,356408,596667,265554,405024,1218861
US48,"4/18/2024, Eastern Time",646681,595370,719725,711031,1955912,1771325,288407,939563,374256,625476,273773,425216,1252659
US48,"4/19/2024, Eastern Time",641944,566583,681932,736570,1887676,1713789,255091,919001,358950,645034,276560,390398,1141620
US48,"4/20/2024, Eastern Time",587525,551639,648310,728781,1757984,1610863,253571,880586,332701,585028,277836,345263,1080045
US48,"4/21/2024, Eastern Time",585757,479311,639266,711746,1797957,1537025,248170,873888,338783,509837,278621,347259,981406
US48,"4/22/2024, Eastern Time",665979,515670,685165,643476,1946955,1673533,253437,924386,342465,546137,299022,389396,1027868
US48,"4/23/2024, Eastern Time",656211,533430,692608,598971,1931435,1675752,251893,914661,342348,557709,301045,386215,1067088
US48,"4/24/2024, Eastern Time",649075,518783,689788,622207,1910529,1690662,270567,920405,355440,556053,288840,384712,1161103
US48,"4/25/2024, Eastern Time",653399,529392,708348,656074,1905378,1702767,253030,920866,343892,578172,273588,375593,1184510
US48,"4/26/2024, Eastern Time",641052,505951,706372,673114,1897053,1723823,246980,907090,339869,583416,262751,388607,1198480
US48,"4/27/2024, Eastern Time",582890,493613,686887,650196,1823963,1650762,227759,885227,326116,548752,250155,389001,1202919
US48,"4/28/2024, Eastern Time",559958,506931,653135,650535,1849854,1663664,241990,874443,325176,549480,254258,389470,1139441
US48,"4/29/2024, Eastern Time",627785,560645,694903,683085,2137739,1758976,259728,918731,367015,589578,276011,410533,1232172
US48,"4/30/2024, Eastern Time",657402,563668,739230,710525,2079667,1786300,269820,943947,357614,604273,290402,417633,1260173
US48,"5/1/2024, Eastern Time",664506,590974,728460,741452,2092929,1823236,266435,933053,350558,640450,291870,431465,1238474
US48,"5/2/2024, Eastern Time",672246,619397,716524,766818,2153739,1841124,263106,916302,349936,655341,293195,437993,1208794
US48,"5/3/2024, Eastern Time",671244,613832,710604,764625,2004204,1763715,252504,911817,341940,650575,297022,415289,1207778
US48,"5/4/2024, Eastern Time",640583,541065,670451,742016,1825001,1689449,231447,877962,322139,598811,289408,401463,1166112
US48,"5/5/2024, Eastern Time",562114,546364,643849,751215,1834161,1625805,260010,886984,337959,609160,274917,407550,1132398
US48,"5/6/2024, Eastern Time",613306,590599,722123,785206,1999635,1795530,263725,922149,350571,671798,269133,434268,1272627
US48,"5/7/2024, Eastern Time",635726,625095,739886,770623,2090186,1867822,250158,935576,351355,691210,274620,449535,1350787
US48,"5/8/2024, Eastern Time",643901,653491,750718,806095,2207841,1863817,282744,921790,377331,716434,281596,448969,1389194
US48,"5/9/2024, Eastern Time",669696,583874,714790,870291,2026682,1844268,260300,905751,361010,665840,277902,442126,1350791
US48,"5/10/2024, Eastern Time",682312,567791,706917,833362,1908537,1743106,252272,892463,355509,621390,282530,396308,1237475
US48,"5/11/2024, Eastern Time",646363,484352,683701,820493,1760385,1605713,234629,876968,318881,542632,280894,365447,1134871
US48,"5/12/2024, Eastern Time",626317,496899,662894,738118,1754826,1614629,237700,875762,322479,532617,274573,371264,1109365
US48,"5/13/2024, Eastern Time",680375,526998,697280,794794,1971492,1787869,251994,925744,347954,550955,305440,379578,1201570
US48,"5/14/2024, Eastern Time",695681,542752,714754,850340,1978219,1783762,256742,938572,354711,602512,331259,398548,1226236
US48,"5/15/2024, Eastern Time",719603,569656,728592,835921,1980174,1802581,279660,940018,367413,648479,321739,400143,1296080
US48,"5/16/2024, Eastern Time",720916,592923,714794,846456,2028734,1837305,277757,942529,363810,664530,316518,425417,1189671
US48,"5/17/2024, Eastern Time",716022,576992,745285,833137,1999525,1832138,254237,949519,358677,600512,328979,400197,1108882
US48,"5/18/2024, Eastern Time",652846,561942,767304,859023,1935818,1824560,252877,910883,336962,579707,330823,395087,1243774
US48,"5/19/2024, Eastern Time",613484,515838,768135,843398,1973195,1863980,251664,903144,336057,597118,317512,424205,1332954
US48,"5/20/2024, Eastern Time",667822,575813,808233,826356,2203325,2022686,260261,933973,377636,658888,308333,470729,1396386
US48,"5/21/2024, Eastern Time",683535,608803,813103,795963,2367757,2075732,283630,943101,408914,685551,308567,485291,1437318
US48,"5/22/2024, Eastern Time",703916,644447,744992,832148,2414185,1989173,313683,937057,434377,697712,305763,464313,1415218
US48,"5/23/2024, Eastern Time",699335,671706,782967,841981,2340225,1942467,326143,938855,424937,712499,312930,445035,1406746
US48,"5/24/2024, Eastern Time",678295,656539,795762,858747,2308621,1949584,294871,922445,414012,685538,322406,431462,1453026
US48,"5/25/2024, Eastern Time",617053,618705,748638,859032,2160130,1822509,253269,888119,375230,646898,303380,438836,1427249
US48,"5/26/2024, Eastern Time",589824,636222,768238,862731,2117386,1777494,272302,873915,382548,678700,301082,434163,1448653
US48,"5/27/2024, Eastern Time",617397,636361,763427,897564,2053756,1777603,294608,898224,398974,673205,325819,437727,1484779
US48,"5/28/2024, Eastern Time",683981,674825,761303,917216,2152573,1857623,315958,961519,415978,709371,352257,453794,1350936
US48,"5/29/2024, Eastern Time",717563,636146,770323,913694,2059251,1835931,291854,974171,393945,678697,354598,437428,1324523
US48,"5/30/2024, Eastern Time",729474,590705,762501,877637,1990625,1860617,280012,965971,368523,651373,355889,425199,1364926
US48,"5/31/2024, Eastern Time",753127,550160,731174,853767,1980277,1829758,259406,964704,365780,648380,362853,415530,1272800
US48,"6/1/2024, Eastern Time",691779,527640,740645,787321,1920931,1753234,248546,930619,360183,576660,355460,385981,1285069
US48,"6/2/2024, Eastern Time",649766,551021,746457,770132,1968087,1777180,264960,934611,378133,616472,348952,423393,1355935
US48,"6/3/2024, Eastern Time",715419,648926,786786,815210,2371773,2044907,312387,976609,448343,708614,356080,473052,1441531
US48,"6/4/2024, Eastern Time",769849,681127,802033,845988,2521239,2122160,304060,1001658,455096,724198,367989,474630,1495897
US48,"6/5/2024, Eastern Time",858294,676724,815113,898162,2452157,2052978,322534,1033044,461009,725874,389463,485876,1417605
US48,"6/6/2024, Eastern Time",861766,709683,838862,940254,2464876,2001196,343106,1060247,475275,735372,421987,496361,1444288
US48,"6/7/2024, Eastern Time",820824,691316,855957,911365,2279496,1957183,320441,1086261,437779,736382,427142,464391,1495598
US48,"6/8/2024, Eastern Time",713672,623708,860132,893620,2034393,1844782,272810,1027966,379216,662636,397782,428269,1486089
US48,"6/9/2024, Eastern Time",670428,645574,799143,915601,2025435,1816474,271036,989316,372919,710330,378405,443105,1459710
US48,"6/10/2024, Eastern Time",752032,636618,795157,937405,2081615,1900055,277986,1032974,397209,736722,379978,450681,1435082
US48,"6/11/2024, Eastern Time",820867,642250,825967,813538,2072584,1935433,284359,1049954,396022,703823,402260,435566,1385025
