Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2023,2089,Bozrah Light & Power Company,CT,ISNE,58,2,0,0,60,0.0,.,0.0,0.0,0.0,553,30,0,0,583,0.0,.,0.0,0.0,0.0,157,9,0,0,166,38,1,0,0,40,157,9,0,0,166,38,1,0,0,40,9.600,15.000,0.000,0.000,grotonutilities.com
2023,2285,City of Brookings - (SD),SD,WACM,230,96,321,0,646,0.0,0.0,0.1,0.0,0.1,"4,058","1,219","4,082",0,"9,359",0.0,0.0,0.1,0.0,0.1,14,6,21,0,41,14,7,22,0,43,14,6,21,0,41,14,7,22,0,43,17.664,12.731,12.731,0.000,
2023,2442,City of Bryan - (TX),TX,ERCO,273,894,.,.,"1,166",0.0,0.2,.,.,0.3,"2,725","8,938",.,.,"11,663",0.1,0.1,.,.,0.1,107,101,.,.,208,81,42,.,.,123,107,101,.,.,208,81,42,.,.,123,10.000,10.000,.,.,
2023,2507,City of Burbank Water and Power,CA,LDWP,"1,276","4,043",0,.,"5,319",0.4,1.3,0.0,.,1.7,"6,609","61,501",0,.,"68,110",0.4,1.3,0.0,.,1.7,912,251,0,.,"1,162",60,548,0,.,607,912,251,0,.,"1,162",60,548,0,.,607,10.305,15.303,0.000,.,
2023,2548,City of Burlington Electric - (VT),VT,ISNE,488,"2,434",.,.,"2,922",0.1,0.4,.,.,0.5,"6,832","36,510",.,.,"43,342",0.1,0.4,.,.,0.5,370,730,.,.,"1,100",405,629,.,.,"1,034",370,730,.,.,"1,100",405,629,.,.,"1,034",14.000,15.000,.,.,www.burlingtonelectric.com
2023,2643,Butler Public Power District - (NE),NE,SWPP,57,127,519,0,703,0.0,0.0,0.0,0.0,0.0,856,"1,401","3,448",0,"5,705",0.0,0.0,0.0,0.0,0.0,21,5,38,0,64,1,3,33,0,37,21,5,38,0,64,1,3,33,0,37,15.096,11.000,6.641,.,
2023,3046,Duke Energy Progress - (NC),NC,CPLE,"278,080","67,958",.,.,"346,039",52.6,12.2,.,.,64.9,"2,136,758","944,074",.,.,"3,080,832",52.6,12.2,.,.,64.9,"29,176","9,743",.,.,"38,919","14,979","6,589",.,.,"21,569","29,176","9,743",.,.,"38,919","14,979","6,589",.,.,"21,569",7.684,13.892,.,.,
2023,3046,Duke Energy Progress - (NC),SC,CPLE,"45,876","11,211",.,.,"57,087",8.7,2.0,.,.,10.7,"352,507","155,747",.,.,"508,254",8.7,2.0,.,.,10.7,"4,813","1,607",.,.,"6,421","2,471","1,087",.,.,"3,558","4,813","1,607",.,.,"6,421","2,471","1,087",.,.,"3,558",7.684,13.892,.,.,
2023,3107,Carteret-Craven El Member Corp,NC,CPLE,"1,994",308,.,.,"2,302",0.2,0.0,.,.,0.2,"2,042","5,236",.,.,"7,279",0.2,0.0,.,.,0.3,1,0,.,.,1,15,304,.,.,319,1,0,.,.,1,15,304,.,.,319,1.030,17.000,.,.,
2023,3203,Cedar Falls Utilities,IA,MISO,806,326,686,.,"1,819",0.4,0.2,0.1,.,0.6,"12,970","6,102","4,294",.,"23,366",0.4,0.2,0.1,.,0.6,156,67,7,.,231,307,18,3,.,328,156,67,7,.,231,307,18,3,.,328,16.069,13.812,9.020,.,
2023,3205,Cedar-Knox Public Power Dist,NE,SWPP,120,48,43,.,211,0.0,0.0,0.0,.,0.0,"1,896",535,412,.,"2,843",0.0,0.0,0.0,.,0.0,37,3,4,.,43,10,3,3,.,16,37,3,4,.,43,10,3,3,.,16,15.795,11.091,9.548,.,
2023,3240,Central Electric Coop Inc - (OR),OR,BPAT,"1,042","1,343",8,0,"2,393",0.2,0.2,0.0,0.0,0.4,"19,357","17,019",75,0,"36,451",0.2,0.2,0.0,0.0,0.4,718,229,2,0,948,.,.,.,.,.,718,229,2,0,948,.,.,.,.,.,18.580,12.670,10.000,0.000,
2023,3245,"Central Florida Elec Coop, Inc",FL,SEC,87,28,0,.,115,0.0,0.0,0.0,.,0.0,"1,307",352,0,.,"1,659",0.0,0.0,0.0,.,0.0,0,0,0,.,0,91,41,0,.,132,0,0,0,.,0,91,41,0,.,132,14.232,12.367,0.000,.,
2023,3248,Central Georgia El Member Corp,GA,SOCO,107,.,.,.,107,0.0,.,.,.,0.0,"1,242",.,.,.,"1,242",0.0,.,.,.,0.0,13,.,.,.,13,13,.,.,.,13,13,.,.,.,13,13,.,.,.,13,11.000,.,.,.,
2023,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"37,479","15,932",.,.,"53,411",.,.,.,.,.,"500,862","179,868",.,.,"680,730",.,.,.,.,.,"2,957","3,359",.,.,"6,315","1,086",401,.,.,"1,487","2,957","3,360",.,.,"6,316","1,086",401,.,.,"1,487",13.364,11.290,.,.,www.cenhud.com
2023,3258,Central Iowa Power Cooperative,IA,MISO,11,1,0,.,12,1.3,0.0,0.0,.,1.3,170,6,6,.,182,1.3,0.0,0.2,.,1.5,581,21,11,.,613,126,2,2,.,130,581,21,11,.,613,126,2,2,.,130,15.736,9.272,16.048,.,Ihttps://cipco.net/integrated-resouce-plan
2023,3264,Central Lincoln People's Ut Dt,OR,BPAT,"1,452",608,932,0,"2,992",0.4,0.1,0.1,0.0,0.6,"29,168","8,413","14,356",0,"51,937",0.4,0.1,0.1,0.0,0.6,865,104,253,0,"1,222",64,27,41,0,132,865,104,253,0,"1,222",64,27,41,0,132,20.092,13.846,15.400,0.000,clpud.org
2023,3265,Cleco Power LLC,LA,MISO,"19,011","13,890","1,277",0,"34,178",3.8,4.1,0.4,0.0,8.3,"294,789","169,316","18,812",0,"482,917",3.8,4.1,0.4,0.0,8.3,"2,016","1,459",110,0,"3,585","1,690",767,47,0,"2,504","2,016","1,459",110,0,"3,585","1,690",767,47,0,"2,504",15.500,12.200,14.700,0.000,
2023,3278,AEP Texas Central Company,TX,ERCO,"4,436","8,925",0,0,"13,361",2.4,6.2,0.0,0.0,8.6,"92,156","153,915",0,0,"246,071",2.4,6.2,0.0,0.0,8.6,"1,842","1,629",0,0,"3,471",267,231,0,0,498,"1,842","1,629",0,0,"3,471",267,231,0,0,498,20.800,17.200,0.000,0.000,
