,City,State,Total Generation Rank,Electric Generation Rank,Commercial Generation Rank,Capacity Growth Status,CAIDI w/ Major Events,CAIDI w/o Major Events,SAIFI Major Events,Utility Annual Energy Savings (MWh),Utility Peak Demand Savings (MW),Utility Annual Incentive Cost ($),Utility Commercial Avg Life (Yrs),Regional Electricity Demand,IXP_Count,Total MWh Rank,Purchased Rank,County,Gigabit_Fiber_Coverage,Business_Density,Suitability
24,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown,High Suitability
25,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
26,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
27,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
28,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
29,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
30,Tucson,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Pima County,Unknown,Unknown,High Suitability
31,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
32,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown,High Suitability
33,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
34,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
35,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
36,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
37,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
38,Tucson,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Low,Low,Low,Low,Low,8,High,High,Pima County,Unknown,Unknown,High Suitability
39,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
40,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown,High Suitability
41,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
42,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
43,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
44,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
45,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Maricopa County,Unknown,Unknown,High Suitability
46,Tucson,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,Moderate,High,Low,Low,8,High,High,Pima County,Unknown,Unknown,High Suitability
47,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
48,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
49,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
50,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
51,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
52,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
53,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
54,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
55,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
56,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
57,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
58,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
59,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
60,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
61,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
62,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
63,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
64,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
65,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
66,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
67,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
68,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
69,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
70,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
71,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
72,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
73,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
74,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
75,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
76,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
77,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
78,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
79,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
80,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
81,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
82,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
83,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
84,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
85,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
86,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
87,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
88,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
89,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
90,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
91,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
92,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
93,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
94,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
95,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
96,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
97,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
98,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
99,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
100,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
101,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
102,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
103,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
104,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
105,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
106,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Moderate,Low,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
107,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
108,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
109,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
110,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
111,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
112,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
113,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
114,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
115,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
116,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
117,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
118,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
119,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
120,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
121,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
122,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
123,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
124,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
125,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
126,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
127,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
128,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
129,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
130,Sunnyvale,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
131,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
132,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
133,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
134,Neuheim,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
135,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
136,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
137,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
138,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
139,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
140,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
141,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
142,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
143,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
144,Silicon Valley,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
145,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
146,Palo Alto,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Moderate,Moderate,Santa Clara County,Unknown,Unknown,Low Suitability
147,San Jose,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Santa Clara County,Unknown,Unknown,Low Suitability
148,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
149,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
150,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
151,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
152,Fremont,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Alameda County,Unknown,Unknown,Low Suitability
153,San Francisco,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,San Francisco County,Moderate,High,Low Suitability
154,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
155,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
156,Mountain View,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,Unknown,Unknown,Unknown,Unknown,Unknown,Low Suitability
157,Los Angeles,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Los Angeles County,Limited,High,Low Suitability
158,Sacramento,CA,High,High,High,Shrinking,248.1,140.0,Moderate,Low,Low,Low,Moderate,Low,27,High,High,Sacramento County,Limited,High,Low Suitability
